Timestamp,Please select a character to submit matchup data for.,What is your approximate skill level?,What is your tag?,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus,"I attest that the data I am submitting is my actual opinion, and I am not submitting junk data to cause a headache."
9/22/2023 21:54:47,Sheik,High Level (I regularly make it out of pools in tournaments),Entropy,60:40,55:45,60:40,60:40,55:45,55:45,45:55,60:40,30:70,60:40,60:40,55:45,60:40,,50:50,60:40,45:55,60:40,60:40,45:55,55:45,55:45,45:55,55:45,60:40,55:45,55:45,60:40,60:40,60:40,60:40,60:40,50:50,55:45,,45:55,60:40,55:45,40:60,55:45,60:40,55:45,Yes
9/22/2023 22:14:04,Captain Falcon,High Level (I regularly make it out of pools in tournaments),DMG,60:40,50:50,55:45,50:50,55:45,40:60,40:60,60:40,60:40,60:40,60:40,55:45,60:40,60:40,55:45,55:45,55:45,55:45,60:40,55:45,50:50,40:60,50:50,55:45,60:40,60:40,60:40,55:45,60:40,55:45,60:40,55:45,40:60,60:40,55:45,60:40,60:40,55:45,45:55,60:40,60:40,55:45,Yes
9/22/2023 22:44:45,Meta Knight,Intermediate (I have participated in multiple tournaments),Repeat,70:30,60:40,,,,50:50,50:50,60:40,55:45,55:45,,,,,,,,55:45,,40:60,50:50,50:50,,,55:45,,,,,,55:45,,,,,50:50,60:40,45:55,50:50,,55:45,50:50,Yes
9/22/2023 23:03:43,Ike,Intermediate (I have participated in multiple tournaments),Zerito,,50:50,55:45,45:55,45:55,40:60,45:55,55:45,55:45,50:50,50:50,60:40,55:45,45:55,,45:55,,,60:40,45:55,,45:55,,,60:40,,55:45,,,,,,,55:45,,,,,45:55,,60:40,,Yes
9/22/2023 23:23:16,Luigi,High Level (I regularly make it out of pools in tournaments),Dyl,30:70,40:60,40:60,60:40,30:70,40:60,40:60,45:55,80:20,30:70,60:40,60:40,40:60,50:50,,30:70,60:40,50:50,50:50,55:45,40:60,45:55,55:45,30:70,60:40,40:60,50:50,40:60,60:40,55:45,60:40,45:55,45:55,55:45,60:40,50:50,45:55,,45:55,,45:55,50:50,Yes
9/22/2023 23:25:11,Link,High Level (I regularly make it out of pools in tournaments),Vin Lee (more commonly known as Flashfrost),60:40,40:60,50:50,50:50,45:55,40:60,30:70,60:40,55:45,40:60,50:50,70:30,60:40,55:45,55:45,50:50,50:50,50:50,70:30,45:55,50:50,40:60,60:40,60:40,55:45,50:50,55:45,40:60,60:40,50:50,50:50,55:45,30:70,55:45,40:60,55:45,55:45,50:50,40:60,55:45,60:40,30:70,Yes
9/22/2023 23:26:44,Bowser,Intermediate (I have participated in multiple tournaments),Deor,50:50,30:70,45:55,,55:45,40:60,50:50,45:55,20:80,45:55,40:60,40:60,50:50,40:60,,30:70,50:50,30:70,50:50,50:50,50:50,40:60,40:60,40:60,40:60,,45:55,,,40:60,55:45,45:55,30:70,40:60,40:60,40:60,30:70,30:70,45:55,40:60,40:60,40:60,Yes
9/22/2023 23:41:20,Snake,Intermediate (I have participated in multiple tournaments),ilikepizza107 ,60:40,45:55,50:50,45:55,45:55,55:45,50:50,50:50,45:55,45:55,50:50,45:55,55:45,50:50,50:50,50:50,45:55,40:60,50:50,50:50,45:55,40:60,50:50,55:45,55:45,50:50,55:45,50:50,50:50,50:50,55:45,55:45,45:55,50:50,45:55,50:50,50:50,45:55,45:55,50:50,45:55,50:50,Yes
9/22/2023 23:53:44,Fox,High Level (I regularly make it out of pools in tournaments),jhamp,40:60,50:50,45:55,55:45,50:50,45:55,50:50,55:45,50:50,45:55,55:45,55:45,50:50,60:40,50:50,55:45,55:45,60:40,60:40,50:50,40:60,45:55,50:50,55:45,50:50,60:40,55:45,50:50,60:40,50:50,55:45,55:45,55:45,60:40,50:50,55:45,60:40,45:55,50:50,55:45,60:40,50:50,Yes
9/23/2023 0:02:28,Link,Intermediate (I have participated in multiple tournaments),Trip,55:45,30:70,50:50,55:45,40:60,40:60,40:60,50:50,55:45,55:45,50:50,55:45,50:50,45:55,40:60,50:50,45:55,40:60,55:45,50:50,50:50,40:60,55:45,55:45,55:45,50:50,55:45,55:45,55:45,50:50,45:55,55:45,40:60,55:45,45:55,45:55,50:50,50:50,40:60,50:50,50:50,40:60,Yes
